"TIME","GEO","HHTYP","INCGRP","UNIT","Value"
"2008","Austria","Total","Total","Percentage","21.6"
"2008","Belgium","Total","Total","Percentage","21.0"
"2008","Bulgaria","Total","Total","Percentage","16.9"
"2008","Switzerland","Total","Total","Percentage","18.6"
"2008","Cyprus","Total","Total","Percentage","29.7"
"2008","Czechia","Total","Total","Percentage","17.6"
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage","26.3"
"2008","Denmark","Total","Total","Percentage","18.4"
"2008","Estonia","Total","Total","Percentage","18.0"
"2008","Greece","Total","Total","Percentage","22.3"
"2008","Spain","Total","Total","Percentage","22.0"
"2008","Finland","Total","Total","Percentage","15.5"
"2008","France","Total","Total","Percentage","17.8"
"2008","Croatia","Total","Total","Percentage",":"
"2008","Hungary","Total","Total","Percentage","12.2"
"2008","Ireland","Total","Total","Percentage","12.0"
"2008","Iceland","Total","Total","Percentage","11.6"
"2008","Italy","Total","Total","Percentage","24.3"
"2008","Lithuania","Total","Total","Percentage","16.4"
"2008","Luxembourg","Total","Total","Percentage","20.0"
"2008","Latvia","Total","Total","Percentage","20.6"
"2008","North Macedonia","Total","Total","Percentage",":"
"2008","Malta","Total","Total","Percentage","24.5"
"2008","Netherlands","Total","Total","Percentage","29.3"
"2008","Norway","Total","Total","Percentage","12.5"
"2008","Poland","Total","Total","Percentage","18.7"
"2008","Portugal","Total","Total","Percentage","24.2"
"2008","Romania","Total","Total","Percentage","31.3"
"2008","Serbia","Total","Total","Percentage",":"
"2008","Sweden","Total","Total","Percentage","14.4"
"2008","Slovenia","Total","Total","Percentage","18.7"
"2008","Slovakia","Total","Total","Percentage","19.3"
"2008","Turkey","Total","Total","Percentage","21.2"
"2008","United Kingdom","Total","Total","Percentage","19.8"
"2009","Austria","Total","Total","Percentage","20.9"
"2009","Belgium","Total","Total","Percentage","19.4"
"2009","Bulgaria","Total","Total","Percentage","16.2"
"2009","Switzerland","Total","Total","Percentage","18.3"
"2009","Cyprus","Total","Total","Percentage","30.6"
"2009","Czechia","Total","Total","Percentage","18.7"
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage","25.8"
"2009","Denmark","Total","Total","Percentage","19.4"
"2009","Estonia","Total","Total","Percentage","12.7"
"2009","Greece","Total","Total","Percentage","23.5"
"2009","Spain","Total","Total","Percentage","22.4"
"2009","Finland","Total","Total","Percentage","14.9"
"2009","France","Total","Total","Percentage","18.9"
"2009","Croatia","Total","Total","Percentage",":"
"2009","Hungary","Total","Total","Percentage","13.2"
"2009","Ireland","Total","Total","Percentage","10.4"
"2009","Iceland","Total","Total","Percentage","11.8"
"2009","Italy","Total","Total","Percentage","26.1"
"2009","Lithuania","Total","Total","Percentage","15.7"
"2009","Luxembourg","Total","Total","Percentage","21.2"
"2009","Latvia","Total","Total","Percentage","19.3"
"2009","North Macedonia","Total","Total","Percentage",":"
"2009","Malta","Total","Total","Percentage","28.2"
"2009","Netherlands","Total","Total","Percentage","25.3"
"2009","Norway","Total","Total","Percentage","11.9"
"2009","Poland","Total","Total","Percentage","17.7"
"2009","Portugal","Total","Total","Percentage","23.9"
"2009","Romania","Total","Total","Percentage","35.1"
"2009","Serbia","Total","Total","Percentage",":"
"2009","Sweden","Total","Total","Percentage","14.3"
"2009","Slovenia","Total","Total","Percentage","16.7"
"2009","Slovakia","Total","Total","Percentage","21.9"
"2009","Turkey","Total","Total","Percentage","20.5"
"2009","United Kingdom","Total","Total","Percentage","20.5"
"2010","Austria","Total","Total","Percentage","21.0"
"2010","Belgium","Total","Total","Percentage","18.9"
"2010","Bulgaria","Total","Total","Percentage","12.9"
"2010","Switzerland","Total","Total","Percentage","17.5"
"2010","Cyprus","Total","Total","Percentage","29.0"
"2010","Czechia","Total","Total","Percentage","16.5"
"2010","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage","25.7"
"2010","Denmark","Total","Total","Percentage","18.7"
"2010","Estonia","Total","Total","Percentage","11.0"
"2010","Greece","Total","Total","Percentage","23.2"
"2010","Spain","Total","Total","Percentage","18.4"
"2010","Finland","Total","Total","Percentage","13.0"
"2010","France","Total","Total","Percentage","18.5"
"2010","Croatia","Total","Total","Percentage","12.2"
"2010","Hungary","Total","Total","Percentage","11.4"
"2010","Ireland","Total","Total","Percentage","9.5"
"2010","Iceland","Total","Total","Percentage","11.5"
"2010","Italy","Total","Total","Percentage","22.3"
"2010","Lithuania","Total","Total","Percentage","13.8"
"2010","Luxembourg","Total","Total","Percentage","16.7"
"2010","Latvia","Total","Total","Percentage","17.5"
"2010","North Macedonia","Total","Total","Percentage","13.1"
"2010","Malta","Total","Total","Percentage","27.5"
"2010","Netherlands","Total","Total","Percentage","23.6"
"2010","Norway","Total","Total","Percentage","11.3"
"2010","Poland","Total","Total","Percentage","16.2"
"2010","Portugal","Total","Total","Percentage","22.9"
"2010","Romania","Total","Total","Percentage","31.6"
"2010","Serbia","Total","Total","Percentage",":"
"2010","Sweden","Total","Total","Percentage","13.1"
"2010","Slovenia","Total","Total","Percentage","16.5"
"2010","Slovakia","Total","Total","Percentage","18.3"
"2010","Turkey","Total","Total","Percentage",":"
"2010","United Kingdom","Total","Total","Percentage","20.1"
"2011","Austria","Total","Total","Percentage","19.2"
"2011","Belgium","Total","Total","Percentage","19.7"
"2011","Bulgaria","Total","Total","Percentage","12.2"
"2011","Switzerland","Total","Total","Percentage","17.6"
"2011","Cyprus","Total","Total","Percentage","27.5"
"2011","Czechia","Total","Total","Percentage","15.3"
"2011","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage","25.8"
"2011","Denmark","Total","Total","Percentage","18.6"
"2011","Estonia","Total","Total","Percentage","12.7"
"2011","Greece","Total","Total","Percentage","25.1"
"2011","Spain","Total","Total","Percentage","15.6"
"2011","Finland","Total","Total","Percentage","13.1"
"2011","France","Total","Total","Percentage","18.5"
"2011","Croatia","Total","Total","Percentage","11.0"
"2011","Hungary","Total","Total","Percentage","9.9"
"2011","Ireland","Total","Total","Percentage","9.3"
"2011","Iceland","Total","Total","Percentage","12.0"
"2011","Italy","Total","Total","Percentage","20.8"
"2011","Lithuania","Total","Total","Percentage","13.9"
"2011","Luxembourg","Total","Total","Percentage","14.6"
"2011","Latvia","Total","Total","Percentage","15.9"
"2011","North Macedonia","Total","Total","Percentage","11.7"
"2011","Malta","Total","Total","Percentage","30.1"
"2011","Netherlands","Total","Total","Percentage","23.6"
"2011","Norway","Total","Total","Percentage","12.1"
"2011","Poland","Total","Total","Percentage","14.5"
"2011","Portugal","Total","Total","Percentage","23.1"
"2011","Romania","Total","Total","Percentage","28.3"
"2011","Serbia","Total","Total","Percentage",":"
"2011","Sweden","Total","Total","Percentage","14.1"
"2011","Slovenia","Total","Total","Percentage","17.2"
"2011","Slovakia","Total","Total","Percentage","16.3"
"2011","Turkey","Total","Total","Percentage","16.3"
"2011","United Kingdom","Total","Total","Percentage","19.8"
"2012","Austria","Total","Total","Percentage","19.5"
"2012","Belgium","Total","Total","Percentage","17.4"
"2012","Bulgaria","Total","Total","Percentage","12.0"
"2012","Switzerland","Total","Total","Percentage","18.7"
"2012","Cyprus","Total","Total","Percentage","25.7"
"2012","Czechia","Total","Total","Percentage","14.3"
"2012","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage","26.1"
"2012","Denmark","Total","Total","Percentage","17.1"
